inflowRate,consumptionRate,mean_ratio_life_off,mean_avg_delta_off,mean_avg_delta_life,mean_avg_heatDiff_life,mean_avg_heatAct_life,mean_avg_agents_life,mean_avg_agents_random,sd_ratio_life_off,sd_avg_delta_life,sd_avg_agents_life,ci95_ratio_life_off_halfwidth,ci95_avg_delta_life_halfwidth,nSeeds,nSuppressor,nAccelerator,nDead,nInvalid,majority_status
2,0.3,1.5948013975415323,4.488989556580777,7.159046818384365,2.125893607452291,5.033153210932079,16.743083333333335,30,0.29710214519187034,1.3336884270040517,4.715360157530905,0.1063166372457781,0.4772542742870848,30,0,30,0,0,accelerator
4,0.3,1.2679868481992318,5.70006624267101,7.227609029571254,3.0909149459424703,4.13669408362879,13.77775,30,0.10629559086769602,0.6058919092497232,2.4502669937207333,0.038037388682630464,0.21681563518921834,30,0,30,0,0,accelerator
6,0.3,1.2233867753851073,6.911142544286699,8.455000391481734,4.00140872481507,4.453591666666681,14.845,30,0.08749259353863308,0.6046737855148309,3.897398557658862,0.03130882250255018,0.21637973520889545,30,1,29,0,0,accelerator
8,0.3,1.240710578358337,8.122217605056617,10.07732130232206,4.605033802322064,5.472287499999997,18.240666666666666,30,0.08235251999062503,0.6688850876886313,4.932338001487686,0.02946947080595683,0.2393574545918445,30,0,30,0,0,accelerator
10,0.3,1.3741580136653087,9.333295248389991,12.825422459479457,4.145422459479459,8.679999999999984,28.933333333333334,30,0.017018087367641956,0.15883483396509837,1.36289077492212,0.0060898443534094585,0.056838315367111106,30,0,30,0,0,accelerator
2,0.85,0.4498079008168326,4.488989556580777,2.019182969234284,0.12064728005233222,1.8985356891819518,3.8158333333333334,30,0.0019892909040370556,0.008929906093223479,0.011377786383497736,0.0007118586076995475,0.0031955258557254023,30,30,0,0,0,suppressor
4,0.85,0.6962025533011464,5.70006624267101,3.9684006721332294,0.17675634748782967,3.791644324645401,7.756999999999999,30,0.0017102679113261154,0.009748640387273449,0.009657942952252505,0.000612011512081565,0.00348850616014217,30,30,0,0,0,suppressor
6,0.85,0.8568487772037391,6.911142544286699,5.921804038152802,0.2385540381528002,5.683250000000001,11.366750000000003,30,0.001957924550712955,0.013531495660935816,0.012126310807211915,0.0007006343023148534,0.004842183534714844,30,30,0,0,0,suppressor
8,0.85,0.9692833715445538,8.122217605056617,7.872730464647802,0.29626536849704105,7.576465096150764,15.18975,30,0.0012187650589693382,0.009899075018388662,0.020650519739639592,0.00043612947519645873,0.003542338501524794,30,30,0,0,0,suppressor
10,0.85,1.0529755566243877,9.333295248389991,9.827731759313206,0.3605763228027338,9.467155436510472,19.013583333333333,30,0.0013181268411418595,0.012302466983204774,0.02161260939954869,0.00047168563230366435,0.004402381270713672,30,0,30,0,0,accelerator
2,1.4,0.44836455221934535,4.488989556580777,2.012703792453658,0.1131286509532047,1.8995751415004503,3.8334999999999986,30,0.0020852100125683237,0.009360485969696856,0.001245682197806073,0.0007461828198659439,0.0033496068856782102,30,30,0,0,0,suppressor
4,1.4,0.6958074709577704,5.70006624267101,3.966148676604677,0.17390393009311517,3.7922447465115665,7.662666666666665,30,0.0014070993407324262,0.008020559452193501,0.002780267083837762,0.0005035240323856011,0.002870120339374737,30,30,0,0,0,suppressor
6,1.4,0.8564495434688039,6.911142544286699,5.919044876902176,0.23533811707482982,5.683706759827344,11.494416666666668,30,0.001153493890094049,0.007971960698403743,0.007787128342084359,0.0004127724873852784,0.0028527294986794407,30,30,0,0,0,suppressor
8,1.4,0.9697693486247865,8.122217605056617,7.876677676244527,0.2978193429112605,7.578858333333292,15.324166666666661,30,0.0016100954451412207,0.013077545570347588,0.012288439572477688,0.0005761652554262433,0.0046797395810450094,30,30,0,0,0,suppressor
10,1.4,1.0532592237603842,9.333295248389991,9.83037930844573,0.36036630524892677,9.470013003196836,19.163166666666665,30,0.0008323819072769596,0.007768866100033846,0.008328734363152675,0.00029786404008884604,0.002780053030027473,30,0,30,0,0,accelerator
2,1.95,0.4483570226308053,4.488989556580777,2.0126699922093367,0.11450095708795047,1.8981690351213858,3.85625,30,0.002404429755731468,0.010793460063010634,0.00819351088909118,0.0008604141378984975,0.0038623900793608103,30,30,0,0,0,suppressor
4,1.95,0.6961626905793555,5.70006624267101,3.968173451978409,0.17654760733113004,3.7916258446472813,7.683333333333336,30,0.001527358028977431,0.008706041941446814,0.002110455635284857,0.0005465580512936112,0.0031154170978387736,30,30,0,0,0,suppressor
6,1.95,0.8565646104166141,6.911142544286699,5.919840120980627,0.23542818402285068,5.684411936957782,11.576499999999998,30,0.000994984873277278,0.006876482288628354,0.007701320979389606,0.00035605076418731776,0.00246071758430078,30,30,0,0,0,suppressor
8,1.95,0.9696634201932647,8.122217605056617,7.875817302473142,0.3000216809565465,7.575795621516609,15.316833333333332,30,0.0009853289190905675,0.008003055893408837,0.006497125801318662,0.00035259542535808316,0.0028638567713058574,30,30,0,0,0,suppressor
10,1.95,1.0539456984672093,9.333295248389991,9.836786379565076,0.36788305862023635,9.468903320944857,19.16625000000001,30,0.0009403467294482149,0.008776533661798045,0.006491041572017074,0.0003364987555220632,0.003140642236003201,30,0,30,0,0,accelerator
2,2.5,0.44887343343194,4.488989556580777,2.0149881549025355,0.11665747176193011,1.8983306831406048,3.853583333333334,30,0.001999525446259208,0.008975848846375109,0.008322262761488888,0.0007155209915982112,0.0032119662587986944,30,30,0,0,0,suppressor
4,2.5,0.6953456599350719,5.70006624267101,3.9635163231837027,0.17184749200045601,3.7916688311832467,7.61341666666667,30,0.0016586881672835184,0.00945463242945057,0.0021257182694137448,0.0005935539377242158,0.0033832967636262326,30,30,0,0,0,suppressor
6,2.5,0.8571521612451364,6.911142544286699,5.9239007685085605,0.2376507685085603,5.686250000000001,11.37266666666667,30,0.0011680972014114892,0.008072886264537097,0.004685512030558149,0.00041799821522686226,0.002888845248690249,30,30,0,0,0,suppressor
8,2.5,0.9698513656310869,8.122217605056617,7.877343836217012,0.29992394087005414,7.577419895346973,15.266666666666664,30,0.001368339939166859,0.01111395474360312,0.015047816506364053,0.0004896541586643978,0.003977077627893143,30,30,0,0,0,suppressor
10,2.5,1.053613909957127,9.333295248389991,9.833689699440454,0.3628121819627084,9.470877517477751,18.972666666666676,30,0.0010401083166129697,0.00970763800925487,0.003531467735633124,0.00037219798100833056,0.003473833647605446,30,0,30,0,0,accelerator
